lang-id	latitude	longitude
xiy 	 -4.13300 	 -49.94800
gyg 	 5.57378 	 21.97066
gyf 	 -25.68965 	 148.60445
gye 	 10.41095 	 9.23923
gyd 	 -17.06954 	 139.48903
gyb 	 -4.92220 	 145.68321
gya 	 1.96834 	 15.17854
NOCODE_Ngala-Santandrea 	 6.63187 	 24.61853
gyn 	 5.62321 	 -56.94513
gym 	 8.82511 	 -82.39113
gyl 	 5.95034 	 36.57211
knl 	 -0.63184 	 111.80750
gyi 	 2.47457 	 10.24928
NOCODE_Pai-Lang 	  	 
knm 	 -6.45399 	 -68.76780
gyr 	 -15.82467 	 -61.69335
bnf 	 -3.29547 	 130.60114
gyy 	 -27.06423 	 145.86184
jbr 	  	 
nzu 	 -2.65261 	 15.20470
nzz 	 14.49000 	 -3.02000
nzy 	 7.66744 	 15.66750
nzb 	 -2.18115 	 12.70634
nza 	 6.98399 	 10.70849
NOCODE_Allentiac 	 -33.48094 	 -68.09692
NOCODE_Bapen 	  	 
nzk 	 4.79568 	 22.82536
nzi 	 5.17850 	 -2.81123
yiz 	 24.40500 	 103.44100
nzm 	 25.34990 	 93.64627
hud 	 -2.95835 	 129.20169
hue 	 16.28361 	 -94.57383
adq 	 6.50546 	 0.72715
pnz 	 8.71518 	 13.60095
nmi 	 9.18024 	 10.83652
hul 	 -9.99427 	 147.70512
NOCODE_Taut-Batu 	  	 
pnp 	 -5.29587 	 122.96839
tnr 	 12.75312 	 -12.47963
pns 	 0.91716 	 124.71199
vgr 	 26.14035 	 68.60510
nen 	 -21.53050 	 167.96426
tyn 	 -5.54543 	 139.90245
huo 	 22.01635 	 100.88061
tyh 	 19.34971 	 104.10614
tyi 	 -2.98028 	 13.86035
tyj 	 19.18010 	 104.93774
pnu 	 23.86921 	 110.00717
kny 	 -7.31878 	 23.61298
tya 	 -5.74255 	 145.36570
hui 	 -5.97212 	 142.96326
NOCODE_Julud 	  	 
tyx 	 -3.50685 	 13.86684
pnw 	 -22.78161 	 118.72297
tyz 	 21.64483 	 106.16715
jbn 	 33.43983 	 9.83329
tyt 	 21.38306 	 104.00762
tyu 	 -22.02366 	 26.01579
tyv 	 48.43595 	 92.66926
pnv 	 -22.47294 	 116.53759
typ 	 -14.82924 	 143.32412
tyr 	 20.45590 	 104.62459
tys 	 22.29499 	 103.80538
dok 	 0.80348 	 120.70738
doh 	 8.64119 	 11.99245
don 	 -9.10008 	 146.98836
doo 	 2.96683 	 29.96193
dol 	 -7.85806 	 142.65608
pnh 	 -8.95454 	 -157.99120
dob 	 -9.63239 	 150.82504
jbk 	 -7.09739 	 143.99279
NOCODE_Elinga 	  	 
doa 	 -6.03737 	 144.89497
dof 	 -10.15101 	 148.45002
doe 	 -6.25844 	 38.49022
doz 	 6.25237 	 37.55537
lpn 	  	 
dox 	 5.74987 	 37.20169
doy 	 8.18200 	 -2.29500
NOCODE_Jova 	 28.50000 	 -109.00000
kuv 	 -5.34077 	 131.98597
dor 	 -9.11536 	 160.89663
dos 	 10.18993 	 -4.14930
dop 	 9.51949 	 1.66953
dow 	 8.68604 	 13.07676
lpa 	 -17.60420 	 168.20204
kut 	 48.78919 	 -115.06476
hur 	 48.07505 	 -122.02898
pnn 	 -5.12624 	 144.13744
NOCODE_Dzubukua 	 -8.51421 	 -39.39789
ztm 	 16.22016 	 -96.33623
ztl 	 16.06761 	 -96.16360
ztn 	 17.04461 	 -96.35115
kun 	 14.58789 	 37.52920
zte 	 16.86930 	 -97.19119
pne 	 3.46669 	 114.52256
ztg 	 15.97478 	 -96.19267
huy 	 31.91113 	 43.48648
NOCODE_Oyster-Bay-Big-River-Little-Swanport 	 -42.30738 	 147.50061
zty 	 17.28877 	 -96.19804
ztx 	 17.00245 	 -96.82337
ztu 	 16.88241 	 -96.45715
ztt 	 17.09436 	 -96.88757
ztq 	 16.34158 	 -96.15551
ztp 	 15.84420 	 -96.69968
zts 	 16.85291 	 -96.63213
NOCODE_Atacame 	 0.83493 	 -79.77814
wxa 	 28.64404 	 110.36180
kuh 	 9.40731 	 10.93957
dwr 	 6.57645 	 37.13808
NOCODE_Gudjal 	 -19.44157 	 144.64826
bav 	 6.11403 	 10.41372
baw 	 6.10821 	 10.22335
bau 	 9.42456 	 10.21664
bar 	 47.92316 	 13.24603
bas 	 3.80765 	 10.42135
bap 	 27.12147 	 87.04738
bax 	 5.49017 	 10.84772
bay 	 -5.74908 	 134.78651
baf 	 4.35696 	 11.02897
bag 	 4.64348 	 11.53531
bae 	 1.91649 	 -66.82799
NOCODE_Millcayac 	 -31.79729 	 -67.56958
bac 	 -6.35359 	 106.17663
baa 	 -7.22281 	 157.14937
ban 	 -8.35714 	 115.07496
bao 	 0.30416 	 -70.16441
bam 	 12.04008 	 -9.98949
baj 	 -6.73940 	 134.67109
bak 	 53.59671 	 56.55937
bah 	 25.28406 	 -79.14999
NOCODE_Cotoxo 	 -14.99095 	 -39.43634
irx 	 -3.53189 	 133.51841
iry 	 13.38103 	 120.64995
dtd 	  	 
mec 	 -14.79269 	 134.86500
NOCODE_Kuyubi 	 -11.75000 	 -64.00000
iru 	 12.70645 	 79.95209
irh 	 -2.94438 	 133.58624
iri 	 9.85197 	 8.65250
irk 	 -4.19948 	 35.29393
irn 	 -12.71782 	 -57.98063
xve 	  	 
ire 	 -3.62803 	 135.02456
omc 	 -8.01667 	 -79.00000
omb 	 -15.35234 	 167.89039
oma 	 42.09436 	 -96.52947
omg 	 -3.52600 	 -69.16674
wtw 	 -2.59593 	 120.90044
omk 	  	 
omi 	 3.25420 	 30.53850
omo 	 -4.82756 	 144.92425
rgr 	 -2.48139 	 -71.35778
oml 	 -2.32162 	 25.17477
omr 	  	 
rgs 	 11.30027 	 108.31809
omw 	 -6.35337 	 145.88287
wtf 	 -5.82002 	 145.65507
omt 	 -1.34401 	 35.62963
wti 	 10.64741 	 34.70415
omx 	  	 
wtm 	 27.73600 	 76.94700
rgu 	 -10.55153 	 123.31084
unr 	 25.03911 	 87.17920
unu 	  	 
unz 	 -0.85876 	 119.67323
NOCODE_Nyisu 	 24.68730 	 103.59811
una 	 -6.64084 	 146.21818
mev 	 7.04616 	 -8.86405
une 	 6.97237 	 6.13427
ung 	 -16.40063 	 126.43311
unk 	 -12.43024 	 -58.98020
unm 	 35.02644 	 -98.32013
unn 	  	 
NOCODE_Yagara 	 -27.87648 	 152.46028
NOCODE_Yurumangui 	 3.43686 	 -76.52264
NOCODE_Aruan 	 -0.60863 	 -50.12329
anf 	 7.60385 	 0.41962
gxx 	 6.50013 	 -7.63427
frc 	 29.68686 	 -91.61325
fra 	 48.00000 	 2.00000
anb 	 -3.29664 	 -76.60558
frd 	 -7.28902 	 131.51054
frk 	 52.89596 	 9.98388
prb 	 19.11980 	 101.21733
fro 	  	 
frs 	 52.97134 	 7.73549
frr 	 54.64087 	 8.58489
frq 	 -5.69079 	 146.54121
frp 	 45.80513 	 6.48152
frt 	 -15.44841 	 166.93136
fry 	 53.14300 	 5.86091
ann 	 4.62851 	 7.81985
mco 	 16.94037 	 -95.46586
